series,signal_type,n_short,n_long,kappa,n_fires,n_fires_deduped,fire_rate_pct,tp_rate,fp_rate,avg_fwd_5d,avg_fwd_10d,avg_fwd_20d,avg_fwd_maxdd_20,avg_fwd_maxdd_40,median_fwd_maxdd_20
Portfolio,VR_only,10,100,4.0,28,5.0,1.237842617152962,0.10714285714285714,0.8928571428571429,0.4654932186726758,1.951161540622875,4.307014188394536,-2.671598329527265,-4.099492000555781,-2.4447612390789097
Portfolio,VR+R5<0,20,100,1.5,181,28.0,8.001768346595933,0.36464088397790057,0.6353591160220995,0.4302751172484267,0.8816617377432008,1.6037418084771895,-4.80861986748728,-6.0223704418952195,-3.432610304659066
Portfolio,VR_only,20,100,1.5,401,21.0,17.727674624226346,0.371571072319202,0.628428927680798,0.19722973441207362,0.40759173241062646,0.6005338193743243,-4.972522184930378,-6.233879410456904,-3.222512279682569
Portfolio,VR+R5<0,20,100,1.75,132,23.0,5.835543766578249,0.29545454545454547,0.7045454545454546,0.8627030936624304,1.1852937972529076,2.1075914833014036,-4.365226666973138,-5.197977462475198,-2.6723685895312315
Portfolio,VR_only,20,100,1.75,300,15.0,13.262599469496022,0.3433333333333333,0.6566666666666666,0.5495446521614893,0.5825612842847256,0.6251353631190746,-4.848189663964063,-5.767712316192531,-2.884303532484184
Portfolio,VR+R5<0,20,100,2.0,93,14.0,4.111405835543767,0.2903225806451613,0.7096774193548387,0.5128932308637113,1.0381601840290067,2.548242019787426,-4.505692924076921,-4.875653240196616,-2.7587315206350707
Portfolio,VR_only,20,100,2.0,199,11.0,8.797524314765694,0.34673366834170855,0.6532663316582915,0.5147991944899044,0.4367758710483498,0.35599848989191696,-5.19267911754355,-5.935033632751512,-3.0537696007813406
Portfolio,VR+R5<0,20,100,2.25,79,11.0,3.4924845269672855,0.3291139240506329,0.6708860759493671,0.08484543833034747,0.5032343428857463,2.5178810195937276,-4.911779270623859,-5.219204694853265,-2.8830344396356558
Portfolio,VR_only,20,100,2.25,150,9.0,6.631299734748011,0.32666666666666666,0.6733333333333333,0.3830292541706218,0.5990786402647867,1.2433764782103562,-4.762386305678977,-5.260680904171877,-2.884303532484184
Portfolio,VR+R5<0,20,100,2.5,57,8.0,2.519893899204244,0.2807017543859649,0.7192982456140351,-0.026217860061708516,0.7535692512525815,3.734491757916863,-4.417758022890553,-4.611705080944177,-2.6590504889443216
Portfolio,VR_only,20,100,2.5,106,5.0,4.6861184792219275,0.24528301886792453,0.7547169811320755,0.38548784228503946,1.1830413077774027,2.548931442500655,-4.089700383426808,-4.464644690509719,-2.4044174213480356
Portfolio,VR+R5<0,20,100,3.0,3,1.0,0.1326259946949602,1.0,0.0,-1.6607126982236615,-7.412237837109252,0.9987572688052948,-9.54609914793122,-9.54609914793122,-9.161146546190249
Portfolio,VR_only,20,100,3.0,12,2.0,0.5305039787798408,0.9166666666666666,0.08333333333333333,-1.1734932739705615,-3.7364764303557783,-2.307545090933406,-9.878613340824367,-10.315242919086295,-10.58229388208822
Portfolio,VR+R5<0,20,100,3.5,0,,0.0,,,,,,,,
Portfolio,VR_only,20,100,3.5,0,,0.0,,,,,,,,
Portfolio,VR+R5<0,20,100,4.0,0,,0.0,,,,,,,,
Portfolio,VR_only,20,100,4.0,0,,0.0,,,,,,,,
Portfolio,VR+R5<0,20,200,1.5,181,29.0,8.001768346595933,0.3259668508287293,0.6740331491712708,0.7801186759656114,1.4076946817396832,2.556262973614781,-4.2679920463859204,-4.962783635969236,-2.8035560003510214
Portfolio,VR_only,20,200,1.5,399,20.0,17.639257294429708,0.3241206030150754,0.6758793969849246,0.5042953545311414,0.7768573384338978,1.5338743675666522,-4.4076278544174645,-5.148124762590636,-2.6749577955908834
Portfolio,VR+R5<0,20,200,1.75,114,18.0,5.039787798408488,0.32456140350877194,0.6754385964912281,1.129156170731855,1.5939632064716576,2.7718683841435863,-4.271524884081946,-4.591771547778216,-2.781143760493046
Portfolio,VR_only,20,200,1.75,263,15.0,11.626878868258178,0.27756653992395436,0.7224334600760456,0.9453141330440498,1.1473580399445449,2.0720461776076284,-3.859160576121843,-4.272685346269968,-2.4844403698681976
Portfolio,VR+R5<0,20,200,2.0,81,14.0,3.580901856763926,0.2716049382716049,0.7283950617283951,1.2157115081646201,1.5785527612045591,3.3155784945039417,-3.5938007898295288,-3.8327516989819754,-1.7104799414093017
Portfolio,VR_only,20,200,2.0,182,13.0,8.045977011494253,0.24175824175824176,0.7582417582417582,1.1443399845624744,1.52770036782127,2.4226350978668254,-3.2325215601423243,-3.5601298695055403,-1.9832955121621296
Portfolio,VR+R5<0,20,200,2.25,58,9.0,2.564102564102564,0.3103448275862069,0.6896551724137931,0.8997888096017979,0.9405758098062026,1.3361399293923328,-3.9240969530316354,-4.23144175250298,-2.645300371909163
Portfolio,VR_only,20,200,2.25,131,11.0,5.7913351016799295,0.2748091603053435,0.7251908396946565,0.9864280558966616,1.331399305429936,1.407330027899212,-3.3214657435551893,-3.6541648498968744,-1.9754257751467588
Portfolio,VR+R5<0,20,200,2.5,35,7.0,1.5473032714412025,0.37142857142857144,0.6285714285714286,0.21717276119425025,0.604813923186983,0.11894253914926044,-3.682609014423278,-4.191923253547219,-3.032501595754487
Portfolio,VR_only,20,200,2.5,75,6.0,3.3156498673740056,0.28,0.72,0.6291056667329519,0.9043106231845195,0.731404031554026,-3.0732569903471156,-3.5017319786940853,-2.258914378453865
Portfolio,VR+R5<0,20,200,3.0,14,4.0,0.618921308576481,0.42857142857142855,0.5714285714285714,0.8428511787438966,0.05098688691548281,-0.14527103828439944,-3.528912828935165,-4.413425003202837,-3.763279081558108
Portfolio,VR_only,20,200,3.0,28,4.0,1.237842617152962,0.39285714285714285,0.6071428571428571,0.7690966873324624,0.6344427874359015,-0.2624332822752972,-3.2396918109576074,-4.094663085918686,-1.7365658811916977
Portfolio,VR+R5<0,20,200,3.5,6,2.0,0.2652519893899204,0.6666666666666666,0.3333333333333333,0.14776319515559982,-3.577108725583802,-3.7434031853837535,-5.299637214254938,-7.250070703097659,-6.011910165727471
Portfolio,VR_only,20,200,3.5,9,2.0,0.3978779840848806,0.5555555555555556,0.4444444444444444,0.14829840574535932,-2.4685880403449865,-2.5027100287101325,-4.446747702802984,-5.854536448790645,-5.865180409613694
Portfolio,VR+R5<0,20,200,4.0,0,,0.0,,,,,,,,
Portfolio,VR_only,20,200,4.0,0,,0.0,,,,,,,,
SPTM,VR+R5<0,5,50,1.5,227,50.0,10.035366931918656,0.2767857142857143,0.7232142857142857,0.21844330264624143,0.44900298319344767,1.6492966155225337,-3.9503141356427913,-5.398631016496328,-1.8551105324670067
SPTM,VR_only,5,50,1.5,357,62.0,15.782493368700266,0.2577903682719547,0.7422096317280453,0.06810260239403715,0.4425503651109938,1.40357863344805,-3.7488865585118583,-5.279992291907317,-1.8375815056313842
SPTM,VR+R5<0,5,50,1.75,191,39.0,8.443854995579134,0.2765957446808511,0.723404255319149,0.1847642929205355,0.3119807618069255,1.6802574421343752,-4.088874915435603,-5.400021599964759,-1.9307620061139896
SPTM,VR_only,5,50,1.75,279,49.0,12.3342175066313,0.26181818181818184,0.7381818181818182,-0.042369149586757165,0.3325293412317176,1.426380499387418,-3.9348747381319558,-5.4190581885373375,-1.922465840483023
SPTM,VR+R5<0,5,50,2.0,157,31.0,6.94076038903625,0.2903225806451613,0.7096774193548387,0.0903647873720715,0.18238196014317865,1.8059251962091836,-4.245849586489798,-5.732208848029832,-2.029799179443174
SPTM,VR_only,5,50,2.0,219,40.0,9.681697612732096,0.27314814814814814,0.7268518518518519,-0.1691164986018763,0.02936924764154295,1.4693765326484338,-4.199623605262155,-5.872556802709248,-1.9761325099630984
SPTM,VR+R5<0,5,50,2.25,124,29.0,5.4818744473916885,0.28225806451612906,0.717741935483871,-0.08542367997001835,0.14912481094443208,2.093441203100863,-4.197089082022279,-5.880011004316672,-2.14284571766774
